,Id1,Id2,Type of Content
1315,FormerNFLFan789,nfl,RT
1315,FormerNFLFan789,NFLOfficiating,RT
1315,FormerNFLFan789,nflcommish,RT
1317,THE_GRAYF0X,nfl,Mention
1317,THE_GRAYF0X,NFLOfficiating,Mention
1317,THE_GRAYF0X,nflcommish,Mention
1318,jackihillis22,DonCoop20,Mention
1318,jackihillis22,PFTCommenter,Mention
1318,jackihillis22,ArianFoster,Mention
1320,KecksterFal,_willcompton,Mention
1321,SkylerBertram1,VivaLaStool,RT
1321,SkylerBertram1,ArianFoster,RT
1321,SkylerBertram1,MacrodosingPod,RT
1322,RicoMuscatel,NFLonFOX,Mention
1322,RicoMuscatel,Chiefs,Mention
1322,RicoMuscatel,Eagles,Mention
1323,EspressoJose,tipico,Mention
1324,thetadrivium,Throwback420,RT
1325,thetadrivium,GetYoShinebox,RT
1327,plingon11,Readitandweep2,Mention
1329,Jan11555,taufikl,Mention
1330,SpadedLord,midwest_fancy,RT
1332,Dwheel_14,NFL,Mention
1332,Dwheel_14,NFLonFOX,Mention
1332,Dwheel_14,NFLFilms,Mention
1332,Dwheel_14,Chiefs,Mention
1332,Dwheel_14,Bengals,Mention
1333,ubok1978,Kramed67037,Mention
1333,ubok1978,GottliebShow,Mention
1334,Viyapoo,WWERuthlessEra,RT
1335,punkrockdub,GeneSteratore,Mention
1336,Lvnd00,NFL,Mention
1336,Lvnd00,nflnetwork,Mention
1336,Lvnd00,ESPNNFL,Mention
1339,ubok1978,Aftermath_KC,Mention
1340,BREAK_BoyAplus,FormerNFLFan789,RT
1342,SpikeTheNews2,FormerNFLFan789,RT
1343,Lisa20271524,Sir_Saint1,RT
1344,ayoo_noah,FormerNFLFan789,RT
1345,ayoo_noah,edits841,RT
1346,FormerNFLFan789,edits841,RT
1347,BenLineback,FormerNFLFan789,RT
1349,edits841,FormerNFLFan789,RT
1350,phee2_mc,FormerNFLFan789,RT
1351,InkyBri,NFL,Mention
1352,DigitalPtGuard,FormerNFLFan789,RT
1354,SiefkenRobert,AdamSchefter,Mention
1355,grandadteddy,AdamSchefter,Mention
1357,LordShaq2,FormerNFLFan789,RT
1358,Shadology101,FormerNFLFan789,RT
1359,DanielMusto10,FormerNFLFan789,RT
1361,cammarshallfilm,TH3_GOD_,Mention
1361,cammarshallfilm,YoungAngel_,Mention
1361,cammarshallfilm,FirstTake,Mention
1361,cammarshallfilm,MikeFrancesa,Mention
1362,FormerNFLFan789,MAGAMAN858,RT
1362,FormerNFLFan789,NFL,RT
1363,FormerNFLFan789,BornCincyFan,RT
1363,FormerNFLFan789,nflcommish,RT
1363,FormerNFLFan789,NFL,RT
1366,FootballFan734,nflcommish,Mention
1367,wtondo,TheHouse_Ent,RT
1368,_TheZyro,barstoolsports,RT
1371,MAGAMAN858,NFL,Mention
1372,Piersky65,realAlexRWagner,RT
1373,_VictorChaos,Billyhottakes,Mention
1373,_VictorChaos,PFN365,Mention
1374,THE_GRAYF0X,WilliamScottDe3,Mention
1374,THE_GRAYF0X,GottliebShow,Mention
1375,THE_GRAYF0X,NFL,Mention
1376,SiefkenRobert,Chiefs,Mention
1378,rusteezeworld,WorimiFella,RT
1378,rusteezeworld,Bengals,RT
1379,Gruelingtruth,thebengalorian,Mention
1379,Gruelingtruth,TheBengalsWire,Mention
1379,Gruelingtruth,WhoDey_UK,Mention
1379,Gruelingtruth,BengalsNation8,Mention
1379,Gruelingtruth,moose196850,Mention
1379,Gruelingtruth,WhoooDeyy,Mention
1379,Gruelingtruth,BengalsTalk,Mention
1380,WilliamScottDe3,GottliebShow,Mention
1382,ChadJobe2,ShereeWLWT,Mention
1383,9thwdleekilla,Throwback420,RT
1384,cinbengalsJB9,TonyKnowsBall,RT
1385,cinbengalsJB9,gosuprime21,RT
1386,cinbengalsJB9,LazyMxtt,RT
1387,cinbengalsJB9,ppotterta,RT
1388,cinbengalsJB9,MediaLiarz,RT
1388,cinbengalsJB9,tkelce,RT
1388,cinbengalsJB9,PatrickMahomes,RT
1388,cinbengalsJB9,BrittanyLynne,RT
1389,cinbengalsJB9,GetYoShinebox,RT
1391,cinbengalsJB9,CINClothingCo,RT
1392,cinbengalsJB9,punkrockdub,RT
1393,cinbengalsJB9,VARGASSZNN,RT
1394,cinbengalsJB9,Thomas_Buckeye5,RT
1395,cinbengalsJB9,DatFrostyOne,RT
1396,cinbengalsJB9,Cromezn,RT
1397,DonBrow77958233,NFL,Mention
1397,DonBrow77958233,TomBrady,Mention
1398,cinbengalsJB9,curtisxu,RT
1399,cinbengalsJB9,Pi_sulaiman,RT
1400,jayspartan20,MasterAtWorkinc,RT
1402,Layne__w,FormerNFLFan789,RT
1403,texaskid4life,MasterAtWorkinc,RT
1406,floydianship,MasterAtWorkinc,RT
1407,BornCincyFan,nflcommish,Mention
1407,BornCincyFan,NFL,Mention
1408,MasterAtWorkinc,MasterAtWorkinc,RT
1409,PropMclaughlin_,Mikechanginvest,RT
1410,THE_GRAYF0X,JoeGoodberry,Mention
1410,THE_GRAYF0X,nfl,Mention
1411,NoDiiscussiion,CoachOBrien,Mention
1411,NoDiiscussiion,WokeThuney,Mention
1411,NoDiiscussiion,NFL_DovKleiman,Mention
1411,NoDiiscussiion,Real10jayy__,Mention
1412,Pqranold,edits841,RT
1414,WTFinSoCal,heyjacqui_,Mention
1415,FormerNFLFan789,THE_GRAYF0X,RT
1415,FormerNFLFan789,nfl,RT
1415,FormerNFLFan789,NFLOfficiating,RT
1415,FormerNFLFan789,nflcommish,RT
1417,THE_GRAYF0X,nfl,Mention
1417,THE_GRAYF0X,NFLOfficiating,Mention
1417,THE_GRAYF0X,nflcommish,Mention
1418,jackihillis22,DonCoop20,Mention
1418,jackihillis22,PFTCommenter,Mention
1418,jackihillis22,ArianFoster,Mention
1420,KecksterFal,_willcompton,Mention
1421,SkylerBertram1,VivaLaStool,RT
1421,SkylerBertram1,ArianFoster,RT
1421,SkylerBertram1,MacrodosingPod,RT
1422,RicoMuscatel,NFLonFOX,Mention
1422,RicoMuscatel,Chiefs,Mention
1422,RicoMuscatel,Eagles,Mention
1423,EspressoJose,tipico,Mention
1424,thetadrivium,Throwback420,RT
1425,thetadrivium,GetYoShinebox,RT
1427,plingon11,Readitandweep2,Mention
1429,Jan11555,taufikl,Mention
1430,SpadedLord,midwest_fancy,RT
1432,Dwheel_14,NFL,Mention
1432,Dwheel_14,NFLonFOX,Mention
1432,Dwheel_14,NFLFilms,Mention
1432,Dwheel_14,Chiefs,Mention
1432,Dwheel_14,Bengals,Mention
1433,ubok1978,Kramed67037,Mention
1433,ubok1978,GottliebShow,Mention
1434,Viyapoo,WWERuthlessEra,RT
1435,punkrockdub,GeneSteratore,Mention
1436,Lvnd00,NFL,Mention
1436,Lvnd00,nflnetwork,Mention
1436,Lvnd00,ESPNNFL,Mention
1439,ubok1978,Aftermath_KC,Mention
1440,BREAK_BoyAplus,FormerNFLFan789,RT
1442,SpikeTheNews2,FormerNFLFan789,RT
1443,Lisa20271524,Sir_Saint1,RT
1444,ayoo_noah,FormerNFLFan789,RT
1445,ayoo_noah,edits841,RT
1446,FormerNFLFan789,edits841,RT
1447,BenLineback,FormerNFLFan789,RT
1449,edits841,FormerNFLFan789,RT
1450,phee2_mc,FormerNFLFan789,RT
1451,InkyBri,NFL,Mention
1452,DigitalPtGuard,FormerNFLFan789,RT
1454,SiefkenRobert,AdamSchefter,Mention
1455,grandadteddy,AdamSchefter,Mention
1457,LordShaq2,FormerNFLFan789,RT
1458,Shadology101,FormerNFLFan789,RT
1459,DanielMusto10,FormerNFLFan789,RT
1461,cammarshallfilm,TH3_GOD_,Mention
1461,cammarshallfilm,YoungAngel_,Mention
1461,cammarshallfilm,FirstTake,Mention
1461,cammarshallfilm,MikeFrancesa,Mention
1462,FormerNFLFan789,MAGAMAN858,RT
1462,FormerNFLFan789,NFL,RT
1463,FormerNFLFan789,BornCincyFan,RT
1463,FormerNFLFan789,nflcommish,RT
1463,FormerNFLFan789,NFL,RT
1466,FootballFan734,nflcommish,Mention
1467,wtondo,TheHouse_Ent,RT
1468,_TheZyro,barstoolsports,RT
1471,MAGAMAN858,NFL,Mention
1472,Piersky65,realAlexRWagner,RT
1473,_VictorChaos,Billyhottakes,Mention
1473,_VictorChaos,PFN365,Mention
1474,THE_GRAYF0X,WilliamScottDe3,Mention
1474,THE_GRAYF0X,GottliebShow,Mention
1475,THE_GRAYF0X,NFL,Mention
1476,SiefkenRobert,Chiefs,Mention
1478,rusteezeworld,WorimiFella,RT
1478,rusteezeworld,Bengals,RT
1479,Gruelingtruth,thebengalorian,Mention
1479,Gruelingtruth,TheBengalsWire,Mention
1479,Gruelingtruth,WhoDey_UK,Mention
1479,Gruelingtruth,BengalsNation8,Mention
1479,Gruelingtruth,moose196850,Mention
1479,Gruelingtruth,WhoooDeyy,Mention
1479,Gruelingtruth,BengalsTalk,Mention
1480,WilliamScottDe3,GottliebShow,Mention
1482,ChadJobe2,ShereeWLWT,Mention
1483,9thwdleekilla,Throwback420,RT
1484,cinbengalsJB9,TonyKnowsBall,RT
1485,cinbengalsJB9,gosuprime21,RT
1486,cinbengalsJB9,LazyMxtt,RT
1487,cinbengalsJB9,ppotterta,RT
1488,cinbengalsJB9,MediaLiarz,RT
1488,cinbengalsJB9,tkelce,RT
1488,cinbengalsJB9,PatrickMahomes,RT
1488,cinbengalsJB9,BrittanyLynne,RT
1489,cinbengalsJB9,GetYoShinebox,RT
1491,cinbengalsJB9,CINClothingCo,RT
1492,cinbengalsJB9,punkrockdub,RT
1493,cinbengalsJB9,VARGASSZNN,RT
1494,cinbengalsJB9,Thomas_Buckeye5,RT
1495,cinbengalsJB9,DatFrostyOne,RT
1496,cinbengalsJB9,Cromezn,RT
1497,DonBrow77958233,NFL,Mention
1497,DonBrow77958233,TomBrady,Mention
1498,cinbengalsJB9,curtisxu,RT
1499,cinbengalsJB9,Pi_sulaiman,RT
1500,jayspartan20,MasterAtWorkinc,RT
1502,Layne__w,FormerNFLFan789,RT
1503,texaskid4life,MasterAtWorkinc,RT
1506,floydianship,MasterAtWorkinc,RT
1507,BornCincyFan,nflcommish,Mention
1507,BornCincyFan,NFL,Mention
1508,MasterAtWorkinc,MasterAtWorkinc,RT
1509,PropMclaughlin_,Mikechanginvest,RT
1510,THE_GRAYF0X,JoeGoodberry,Mention
1510,THE_GRAYF0X,nfl,Mention
1511,NoDiiscussiion,CoachOBrien,Mention
1511,NoDiiscussiion,WokeThuney,Mention
1511,NoDiiscussiion,NFL_DovKleiman,Mention
1511,NoDiiscussiion,Real10jayy__,Mention
1512,Pqranold,edits841,RT
1514,WTFinSoCal,heyjacqui_,Mention
1515,FormerNFLFan789,THE_GRAYF0X,RT
1515,FormerNFLFan789,nfl,RT
1515,FormerNFLFan789,NFLOfficiating,RT
1515,FormerNFLFan789,nflcommish,RT
1517,THE_GRAYF0X,nfl,Mention
1517,THE_GRAYF0X,NFLOfficiating,Mention
1517,THE_GRAYF0X,nflcommish,Mention
1518,jackihillis22,DonCoop20,Mention
1518,jackihillis22,PFTCommenter,Mention
1518,jackihillis22,ArianFoster,Mention
1520,KecksterFal,_willcompton,Mention
1521,SkylerBertram1,VivaLaStool,RT
1521,SkylerBertram1,ArianFoster,RT
1521,SkylerBertram1,MacrodosingPod,RT
1522,RicoMuscatel,NFLonFOX,Mention
1522,RicoMuscatel,Chiefs,Mention
1522,RicoMuscatel,Eagles,Mention
1523,EspressoJose,tipico,Mention
1524,thetadrivium,Throwback420,RT
1525,thetadrivium,GetYoShinebox,RT
1527,plingon11,Readitandweep2,Mention
1529,Jan11555,taufikl,Mention
1530,SpadedLord,midwest_fancy,RT
1532,Dwheel_14,NFL,Mention
1532,Dwheel_14,NFLonFOX,Mention
1532,Dwheel_14,NFLFilms,Mention
1532,Dwheel_14,Chiefs,Mention
1532,Dwheel_14,Bengals,Mention
1533,ubok1978,Kramed67037,Mention
1533,ubok1978,GottliebShow,Mention
1534,Viyapoo,WWERuthlessEra,RT
1535,punkrockdub,GeneSteratore,Mention
1536,Lvnd00,NFL,Mention
1536,Lvnd00,nflnetwork,Mention
1536,Lvnd00,ESPNNFL,Mention
1539,ubok1978,Aftermath_KC,Mention
1540,BREAK_BoyAplus,FormerNFLFan789,RT
1542,SpikeTheNews2,FormerNFLFan789,RT
1543,Lisa20271524,Sir_Saint1,RT
1544,ayoo_noah,FormerNFLFan789,RT
1545,ayoo_noah,edits841,RT
1546,FormerNFLFan789,edits841,RT
1547,BenLineback,FormerNFLFan789,RT
1549,edits841,FormerNFLFan789,RT
1550,phee2_mc,FormerNFLFan789,RT
1551,InkyBri,NFL,Mention
1552,DigitalPtGuard,FormerNFLFan789,RT
1554,SiefkenRobert,AdamSchefter,Mention
1555,grandadteddy,AdamSchefter,Mention
1557,LordShaq2,FormerNFLFan789,RT
1558,Shadology101,FormerNFLFan789,RT
1559,DanielMusto10,FormerNFLFan789,RT
1561,cammarshallfilm,TH3_GOD_,Mention
1561,cammarshallfilm,YoungAngel_,Mention
1561,cammarshallfilm,FirstTake,Mention
1561,cammarshallfilm,MikeFrancesa,Mention
1562,FormerNFLFan789,MAGAMAN858,RT
1562,FormerNFLFan789,NFL,RT
1563,FormerNFLFan789,BornCincyFan,RT
1563,FormerNFLFan789,nflcommish,RT
1563,FormerNFLFan789,NFL,RT
1566,FootballFan734,nflcommish,Mention
1567,wtondo,TheHouse_Ent,RT
1568,_TheZyro,barstoolsports,RT
1571,MAGAMAN858,NFL,Mention
1572,Piersky65,realAlexRWagner,RT
1573,_VictorChaos,Billyhottakes,Mention
1573,_VictorChaos,PFN365,Mention
1574,THE_GRAYF0X,WilliamScottDe3,Mention
1574,THE_GRAYF0X,GottliebShow,Mention
1575,THE_GRAYF0X,NFL,Mention
1576,SiefkenRobert,Chiefs,Mention
1578,rusteezeworld,WorimiFella,RT
1578,rusteezeworld,Bengals,RT
1579,Gruelingtruth,thebengalorian,Mention
1579,Gruelingtruth,TheBengalsWire,Mention
1579,Gruelingtruth,WhoDey_UK,Mention
1579,Gruelingtruth,BengalsNation8,Mention
1579,Gruelingtruth,moose196850,Mention
1579,Gruelingtruth,WhoooDeyy,Mention
1579,Gruelingtruth,BengalsTalk,Mention
1580,WilliamScottDe3,GottliebShow,Mention
1582,ChadJobe2,ShereeWLWT,Mention
1583,9thwdleekilla,Throwback420,RT
1584,cinbengalsJB9,TonyKnowsBall,RT
1585,cinbengalsJB9,gosuprime21,RT
1586,cinbengalsJB9,LazyMxtt,RT
1587,cinbengalsJB9,ppotterta,RT
1588,cinbengalsJB9,MediaLiarz,RT
1588,cinbengalsJB9,tkelce,RT
1588,cinbengalsJB9,PatrickMahomes,RT
1588,cinbengalsJB9,BrittanyLynne,RT
1589,cinbengalsJB9,GetYoShinebox,RT
1591,cinbengalsJB9,CINClothingCo,RT
1592,cinbengalsJB9,punkrockdub,RT
1593,cinbengalsJB9,VARGASSZNN,RT
1594,cinbengalsJB9,Thomas_Buckeye5,RT
1595,cinbengalsJB9,DatFrostyOne,RT
1596,cinbengalsJB9,Cromezn,RT
1597,DonBrow77958233,NFL,Mention
1597,DonBrow77958233,TomBrady,Mention
1598,cinbengalsJB9,curtisxu,RT
1599,cinbengalsJB9,Pi_sulaiman,RT
1600,jayspartan20,MasterAtWorkinc,RT
1602,Layne__w,FormerNFLFan789,RT
1603,texaskid4life,MasterAtWorkinc,RT
1606,floydianship,MasterAtWorkinc,RT
1607,BornCincyFan,nflcommish,Mention
1607,BornCincyFan,NFL,Mention
1608,MasterAtWorkinc,MasterAtWorkinc,RT
1609,PropMclaughlin_,Mikechanginvest,RT
1610,THE_GRAYF0X,JoeGoodberry,Mention
1610,THE_GRAYF0X,nfl,Mention
1611,NoDiiscussiion,CoachOBrien,Mention
1611,NoDiiscussiion,WokeThuney,Mention
1611,NoDiiscussiion,NFL_DovKleiman,Mention
1611,NoDiiscussiion,Real10jayy__,Mention
1612,Pqranold,edits841,RT
1614,WTFinSoCal,heyjacqui_,Mention
1615,FormerNFLFan789,THE_GRAYF0X,RT
1615,FormerNFLFan789,nfl,RT
1615,FormerNFLFan789,NFLOfficiating,RT
1615,FormerNFLFan789,nflcommish,RT
1617,THE_GRAYF0X,nfl,Mention
1617,THE_GRAYF0X,NFLOfficiating,Mention
1617,THE_GRAYF0X,nflcommish,Mention
1618,jackihillis22,DonCoop20,Mention
1618,jackihillis22,PFTCommenter,Mention
1618,jackihillis22,ArianFoster,Mention
1620,KecksterFal,_willcompton,Mention
1621,SkylerBertram1,VivaLaStool,RT
1621,SkylerBertram1,ArianFoster,RT
1621,SkylerBertram1,MacrodosingPod,RT
1622,RicoMuscatel,NFLonFOX,Mention
1622,RicoMuscatel,Chiefs,Mention
1622,RicoMuscatel,Eagles,Mention
1623,EspressoJose,tipico,Mention
1624,thetadrivium,Throwback420,RT
1625,thetadrivium,GetYoShinebox,RT
1627,plingon11,Readitandweep2,Mention
1629,Jan11555,taufikl,Mention
1630,SpadedLord,midwest_fancy,RT
1632,Dwheel_14,NFL,Mention
1632,Dwheel_14,NFLonFOX,Mention
1632,Dwheel_14,NFLFilms,Mention
1632,Dwheel_14,Chiefs,Mention
1632,Dwheel_14,Bengals,Mention
1633,ubok1978,Kramed67037,Mention
1633,ubok1978,GottliebShow,Mention
1634,Viyapoo,WWERuthlessEra,RT
1635,punkrockdub,GeneSteratore,Mention
1636,Lvnd00,NFL,Mention
1636,Lvnd00,nflnetwork,Mention
1636,Lvnd00,ESPNNFL,Mention
1639,ubok1978,Aftermath_KC,Mention
1640,BREAK_BoyAplus,FormerNFLFan789,RT
1642,SpikeTheNews2,FormerNFLFan789,RT
1643,Lisa20271524,Sir_Saint1,RT
1644,ayoo_noah,FormerNFLFan789,RT
1645,ayoo_noah,edits841,RT
1646,FormerNFLFan789,edits841,RT
1647,BenLineback,FormerNFLFan789,RT
1649,edits841,FormerNFLFan789,RT
1650,phee2_mc,FormerNFLFan789,RT
1651,InkyBri,NFL,Mention
1652,DigitalPtGuard,FormerNFLFan789,RT
1654,SiefkenRobert,AdamSchefter,Mention
1655,grandadteddy,AdamSchefter,Mention
1657,LordShaq2,FormerNFLFan789,RT
1658,Shadology101,FormerNFLFan789,RT
1659,DanielMusto10,FormerNFLFan789,RT
1661,cammarshallfilm,TH3_GOD_,Mention
1661,cammarshallfilm,YoungAngel_,Mention
1661,cammarshallfilm,FirstTake,Mention
1661,cammarshallfilm,MikeFrancesa,Mention
1662,FormerNFLFan789,MAGAMAN858,RT
1662,FormerNFLFan789,NFL,RT
1663,FormerNFLFan789,BornCincyFan,RT
1663,FormerNFLFan789,nflcommish,RT
1663,FormerNFLFan789,NFL,RT
1666,FootballFan734,nflcommish,Mention
1667,wtondo,TheHouse_Ent,RT
1668,_TheZyro,barstoolsports,RT
1671,MAGAMAN858,NFL,Mention
1672,Piersky65,realAlexRWagner,RT
1673,_VictorChaos,Billyhottakes,Mention
1673,_VictorChaos,PFN365,Mention
1674,THE_GRAYF0X,WilliamScottDe3,Mention
1674,THE_GRAYF0X,GottliebShow,Mention
1675,THE_GRAYF0X,NFL,Mention
1676,SiefkenRobert,Chiefs,Mention
1678,rusteezeworld,WorimiFella,RT
1678,rusteezeworld,Bengals,RT
1679,Gruelingtruth,thebengalorian,Mention
1679,Gruelingtruth,TheBengalsWire,Mention
1679,Gruelingtruth,WhoDey_UK,Mention
1679,Gruelingtruth,BengalsNation8,Mention
1679,Gruelingtruth,moose196850,Mention
1679,Gruelingtruth,WhoooDeyy,Mention
1679,Gruelingtruth,BengalsTalk,Mention
1680,WilliamScottDe3,GottliebShow,Mention
1682,ChadJobe2,ShereeWLWT,Mention
1683,9thwdleekilla,Throwback420,RT
1684,cinbengalsJB9,TonyKnowsBall,RT
1685,cinbengalsJB9,gosuprime21,RT
1686,cinbengalsJB9,LazyMxtt,RT
1687,cinbengalsJB9,ppotterta,RT
1688,cinbengalsJB9,MediaLiarz,RT
1688,cinbengalsJB9,tkelce,RT
1688,cinbengalsJB9,PatrickMahomes,RT
1688,cinbengalsJB9,BrittanyLynne,RT
1689,cinbengalsJB9,GetYoShinebox,RT
1691,cinbengalsJB9,CINClothingCo,RT
1692,cinbengalsJB9,punkrockdub,RT
1693,cinbengalsJB9,VARGASSZNN,RT
1694,cinbengalsJB9,Thomas_Buckeye5,RT
1695,cinbengalsJB9,DatFrostyOne,RT
1696,cinbengalsJB9,Cromezn,RT
1697,DonBrow77958233,NFL,Mention
1697,DonBrow77958233,TomBrady,Mention
1698,cinbengalsJB9,curtisxu,RT
1699,cinbengalsJB9,Pi_sulaiman,RT
1700,jayspartan20,MasterAtWorkinc,RT
1702,Layne__w,FormerNFLFan789,RT
1703,texaskid4life,MasterAtWorkinc,RT
1706,floydianship,MasterAtWorkinc,RT
1707,BornCincyFan,nflcommish,Mention
1707,BornCincyFan,NFL,Mention
1708,MasterAtWorkinc,MasterAtWorkinc,RT
1709,PropMclaughlin_,Mikechanginvest,RT
1710,THE_GRAYF0X,JoeGoodberry,Mention
1710,THE_GRAYF0X,nfl,Mention
1711,NoDiiscussiion,CoachOBrien,Mention
1711,NoDiiscussiion,WokeThuney,Mention
1711,NoDiiscussiion,NFL_DovKleiman,Mention
1711,NoDiiscussiion,Real10jayy__,Mention
1712,Pqranold,edits841,RT
1714,WTFinSoCal,heyjacqui_,Mention
1715,FormerNFLFan789,THE_GRAYF0X,RT
1715,FormerNFLFan789,nfl,RT
1715,FormerNFLFan789,NFLOfficiating,RT
1715,FormerNFLFan789,nflcommish,RT
1717,THE_GRAYF0X,nfl,Mention
1717,THE_GRAYF0X,NFLOfficiating,Mention
1717,THE_GRAYF0X,nflcommish,Mention
1718,jackihillis22,DonCoop20,Mention
1718,jackihillis22,PFTCommenter,Mention
1718,jackihillis22,ArianFoster,Mention
1720,KecksterFal,_willcompton,Mention
1721,SkylerBertram1,VivaLaStool,RT
1721,SkylerBertram1,ArianFoster,RT
1721,SkylerBertram1,MacrodosingPod,RT
1722,RicoMuscatel,NFLonFOX,Mention
1722,RicoMuscatel,Chiefs,Mention
1722,RicoMuscatel,Eagles,Mention
1723,EspressoJose,tipico,Mention
1724,thetadrivium,Throwback420,RT
1725,thetadrivium,GetYoShinebox,RT
1727,plingon11,Readitandweep2,Mention
1729,Jan11555,taufikl,Mention
1730,SpadedLord,midwest_fancy,RT
1732,Dwheel_14,NFL,Mention
1732,Dwheel_14,NFLonFOX,Mention
1732,Dwheel_14,NFLFilms,Mention
1732,Dwheel_14,Chiefs,Mention
1732,Dwheel_14,Bengals,Mention
1733,ubok1978,Kramed67037,Mention
1733,ubok1978,GottliebShow,Mention
1734,Viyapoo,WWERuthlessEra,RT
1735,punkrockdub,GeneSteratore,Mention
1736,Lvnd00,NFL,Mention
1736,Lvnd00,nflnetwork,Mention
1736,Lvnd00,ESPNNFL,Mention
1739,ubok1978,Aftermath_KC,Mention
1740,BREAK_BoyAplus,FormerNFLFan789,RT
1742,SpikeTheNews2,FormerNFLFan789,RT
1743,Lisa20271524,Sir_Saint1,RT
1744,ayoo_noah,FormerNFLFan789,RT
1745,ayoo_noah,edits841,RT
1746,FormerNFLFan789,edits841,RT
1747,BenLineback,FormerNFLFan789,RT
1749,edits841,FormerNFLFan789,RT
1750,phee2_mc,FormerNFLFan789,RT
1751,InkyBri,NFL,Mention
1752,DigitalPtGuard,FormerNFLFan789,RT
1754,SiefkenRobert,AdamSchefter,Mention
1755,grandadteddy,AdamSchefter,Mention
1757,LordShaq2,FormerNFLFan789,RT
1758,Shadology101,FormerNFLFan789,RT
1759,DanielMusto10,FormerNFLFan789,RT
1761,cammarshallfilm,TH3_GOD_,Mention
1761,cammarshallfilm,YoungAngel_,Mention
1761,cammarshallfilm,FirstTake,Mention
1761,cammarshallfilm,MikeFrancesa,Mention
1762,FormerNFLFan789,MAGAMAN858,RT
1762,FormerNFLFan789,NFL,RT
1763,FormerNFLFan789,BornCincyFan,RT
1763,FormerNFLFan789,nflcommish,RT
1763,FormerNFLFan789,NFL,RT
1766,FootballFan734,nflcommish,Mention
1767,wtondo,TheHouse_Ent,RT
1768,_TheZyro,barstoolsports,RT
1771,MAGAMAN858,NFL,Mention
1772,Piersky65,realAlexRWagner,RT
1773,_VictorChaos,Billyhottakes,Mention
1773,_VictorChaos,PFN365,Mention
1774,THE_GRAYF0X,WilliamScottDe3,Mention
1774,THE_GRAYF0X,GottliebShow,Mention
1775,THE_GRAYF0X,NFL,Mention
1776,SiefkenRobert,Chiefs,Mention
1778,rusteezeworld,WorimiFella,RT
1778,rusteezeworld,Bengals,RT
1779,Gruelingtruth,thebengalorian,Mention
1779,Gruelingtruth,TheBengalsWire,Mention
1779,Gruelingtruth,WhoDey_UK,Mention
1779,Gruelingtruth,BengalsNation8,Mention
1779,Gruelingtruth,moose196850,Mention
1779,Gruelingtruth,WhoooDeyy,Mention
1779,Gruelingtruth,BengalsTalk,Mention
1780,WilliamScottDe3,GottliebShow,Mention
1782,ChadJobe2,ShereeWLWT,Mention
1783,9thwdleekilla,Throwback420,RT
1784,cinbengalsJB9,TonyKnowsBall,RT
1785,cinbengalsJB9,gosuprime21,RT
1786,cinbengalsJB9,LazyMxtt,RT
1787,cinbengalsJB9,ppotterta,RT
1788,cinbengalsJB9,MediaLiarz,RT
1788,cinbengalsJB9,tkelce,RT
1788,cinbengalsJB9,PatrickMahomes,RT
1788,cinbengalsJB9,BrittanyLynne,RT
1789,cinbengalsJB9,GetYoShinebox,RT
1791,cinbengalsJB9,CINClothingCo,RT
1792,cinbengalsJB9,punkrockdub,RT
1793,cinbengalsJB9,VARGASSZNN,RT
1794,cinbengalsJB9,Thomas_Buckeye5,RT
1795,cinbengalsJB9,DatFrostyOne,RT
1796,cinbengalsJB9,Cromezn,RT
1797,DonBrow77958233,NFL,Mention
1797,DonBrow77958233,TomBrady,Mention
1798,cinbengalsJB9,curtisxu,RT
1799,cinbengalsJB9,Pi_sulaiman,RT
1800,jayspartan20,MasterAtWorkinc,RT
1802,Layne__w,FormerNFLFan789,RT
1803,texaskid4life,MasterAtWorkinc,RT
1806,floydianship,MasterAtWorkinc,RT
1807,BornCincyFan,nflcommish,Mention
1807,BornCincyFan,NFL,Mention
1808,MasterAtWorkinc,MasterAtWorkinc,RT
1809,PropMclaughlin_,Mikechanginvest,RT
1810,THE_GRAYF0X,JoeGoodberry,Mention
1810,THE_GRAYF0X,nfl,Mention
1811,NoDiiscussiion,CoachOBrien,Mention
1811,NoDiiscussiion,WokeThuney,Mention
1811,NoDiiscussiion,NFL_DovKleiman,Mention
1811,NoDiiscussiion,Real10jayy__,Mention
1812,Pqranold,edits841,RT
1814,WTFinSoCal,heyjacqui_,Mention
1815,FormerNFLFan789,THE_GRAYF0X,RT
1815,FormerNFLFan789,nfl,RT
1815,FormerNFLFan789,NFLOfficiating,RT
1815,FormerNFLFan789,nflcommish,RT
1817,THE_GRAYF0X,nfl,Mention
1817,THE_GRAYF0X,NFLOfficiating,Mention
1817,THE_GRAYF0X,nflcommish,Mention
1818,jackihillis22,DonCoop20,Mention
1818,jackihillis22,PFTCommenter,Mention
1818,jackihillis22,ArianFoster,Mention
1820,KecksterFal,_willcompton,Mention
1821,SkylerBertram1,VivaLaStool,RT
1821,SkylerBertram1,ArianFoster,RT
1821,SkylerBertram1,MacrodosingPod,RT
1822,RicoMuscatel,NFLonFOX,Mention
1822,RicoMuscatel,Chiefs,Mention
1822,RicoMuscatel,Eagles,Mention
1823,EspressoJose,tipico,Mention
1824,thetadrivium,Throwback420,RT
1825,thetadrivium,GetYoShinebox,RT
1827,plingon11,Readitandweep2,Mention
1829,Jan11555,taufikl,Mention
1830,SpadedLord,midwest_fancy,RT
1832,Dwheel_14,NFL,Mention
1832,Dwheel_14,NFLonFOX,Mention
