,Id1,Id2,Type of Content
121,SkylerBertram1,VivaLaStool,RT
121,SkylerBertram1,ArianFoster,RT
121,SkylerBertram1,MacrodosingPod,RT
122,RicoMuscatel,NFLonFOX,Mention
122,RicoMuscatel,Chiefs,Mention
122,RicoMuscatel,Eagles,Mention
123,EspressoJose,tipico,Mention
124,thetadrivium,Throwback420,RT
125,thetadrivium,GetYoShinebox,RT
127,plingon11,Readitandweep2,Mention
129,Jan11555,taufikl,Mention
130,SpadedLord,midwest_fancy,RT
132,Dwheel_14,NFL,Mention
132,Dwheel_14,NFLonFOX,Mention
132,Dwheel_14,NFLFilms,Mention
132,Dwheel_14,Chiefs,Mention
132,Dwheel_14,Bengals,Mention
133,ubok1978,Kramed67037,Mention
133,ubok1978,GottliebShow,Mention
134,Viyapoo,WWERuthlessEra,RT
135,punkrockdub,GeneSteratore,Mention
136,Lvnd00,NFL,Mention
136,Lvnd00,nflnetwork,Mention
136,Lvnd00,ESPNNFL,Mention
139,ubok1978,Aftermath_KC,Mention
140,BREAK_BoyAplus,FormerNFLFan789,RT
142,SpikeTheNews2,FormerNFLFan789,RT
143,Lisa20271524,Sir_Saint1,RT
144,ayoo_noah,FormerNFLFan789,RT
145,ayoo_noah,edits841,RT
146,FormerNFLFan789,edits841,RT
147,BenLineback,FormerNFLFan789,RT
149,edits841,FormerNFLFan789,RT
150,phee2_mc,FormerNFLFan789,RT
151,InkyBri,NFL,Mention
152,DigitalPtGuard,FormerNFLFan789,RT
154,SiefkenRobert,AdamSchefter,Mention
155,grandadteddy,AdamSchefter,Mention
157,LordShaq2,FormerNFLFan789,RT
158,Shadology101,FormerNFLFan789,RT
159,DanielMusto10,FormerNFLFan789,RT
161,cammarshallfilm,TH3_GOD_,Mention
161,cammarshallfilm,YoungAngel_,Mention
161,cammarshallfilm,FirstTake,Mention
161,cammarshallfilm,MikeFrancesa,Mention
162,FormerNFLFan789,MAGAMAN858,RT
162,FormerNFLFan789,NFL,RT
163,FormerNFLFan789,BornCincyFan,RT
163,FormerNFLFan789,nflcommish,RT
163,FormerNFLFan789,NFL,RT
166,FootballFan734,nflcommish,Mention
167,wtondo,TheHouse_Ent,RT
168,_TheZyro,barstoolsports,RT
171,MAGAMAN858,NFL,Mention
172,Piersky65,realAlexRWagner,RT
173,_VictorChaos,Billyhottakes,Mention
173,_VictorChaos,PFN365,Mention
174,THE_GRAYF0X,WilliamScottDe3,Mention
174,THE_GRAYF0X,GottliebShow,Mention
175,THE_GRAYF0X,NFL,Mention
176,SiefkenRobert,Chiefs,Mention
178,rusteezeworld,WorimiFella,RT
178,rusteezeworld,Bengals,RT
179,Gruelingtruth,thebengalorian,Mention
179,Gruelingtruth,TheBengalsWire,Mention
179,Gruelingtruth,WhoDey_UK,Mention
179,Gruelingtruth,BengalsNation8,Mention
179,Gruelingtruth,moose196850,Mention
179,Gruelingtruth,WhoooDeyy,Mention
179,Gruelingtruth,BengalsTalk,Mention
180,WilliamScottDe3,GottliebShow,Mention
182,ChadJobe2,ShereeWLWT,Mention
183,9thwdleekilla,Throwback420,RT
184,cinbengalsJB9,TonyKnowsBall,RT
185,cinbengalsJB9,gosuprime21,RT
186,cinbengalsJB9,LazyMxtt,RT
187,cinbengalsJB9,ppotterta,RT
188,cinbengalsJB9,MediaLiarz,RT
188,cinbengalsJB9,tkelce,RT
188,cinbengalsJB9,PatrickMahomes,RT
